rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
153,Yonsei University (Seoul campus),18521,14.7,21%,57.0,54.9,58.2,55.7,96.9,58.6,2022
154,University of Florida,47007,16.3,9%,57.0,54.5,58.9,62.0,58.4,42.7,2022
155,Université Paris Cité,62366,17.0,19%,57.0,48.8,35.5,86.5,36.3,67.7,2022
156,Pompeu Fabra University,11863,22.9,13%,57.0,36.4,39.2,94.2,47.8,66.8,2022
157,Wuhan University,54421,15.2,7%,57.0,43.2,37.7,92.3,80.9,39.8,2022
158,University of Aberdeen,13105,16.8,44%,57.0,32.2,35.2,94.0,47.1,95.8,2022
159,University of Colorado Boulder,35491,16.6,10%,57.0,43.2,42.8,88.1,43.2,47.2,2022
160,Université Catholique de Louvain,26424,39.1,20%,57.0,38.4,52.1,73.2,62.5,80.9,2022
161,Durham University,17725,15.0,33%,57.0,44.9,47.8,69.7,37.8,93.8,2022
162,University of Ottawa,35791,25.4,22%,57.0,40.4,40.6,83.3,50.0,82.1,2022
163,Southern University of Science and Technology (SUSTech),4245,8.4,1%,57.0,29.4,39.4,98.5,78.5,60.4,2022
164,University of Würzburg,23374,35.6,10%,57.0,38.1,43.2,85.6,73.9,62.4,2022
165,Bielefeld University,25182,70.6,8%,57.0,36.4,41.8,94.4,42.4,48.1,2022
166,Indiana University,66716,12.9,14%,56.0,48.9,46.4,74.7,52.0,54.0,2022
167,"Northeastern University, US",20910,14.1,36%,56.0,38.3,29.1,97.4,37.8,76.2,2022
168,University of York,17300,14.7,26%,56.0,39.0,43.7,79.1,37.1,86.7,2022
169,Autonomous University of Barcelona,31595,12.7,16%,56.0,36.6,38.9,90.6,42.9,66.9,2022
170,University of Canberra,9893,35.4,29%,56.0,27.9,33.8,98.6,44.2,89.8,2022
171,University of Bologna,68370,24.3,12%,56.0,49.8,36.9,82.7,45.3,52.1,2022
172,University of Cologne,32405,28.9,18%,56.0,42.2,43.7,77.1,76.9,66.7,2022
173,TU Dresden,30519,32.3,17%,56.0,46.7,47.2,69.3,97.4,59.3,2022
174,Tufts University,11152,9.9,16%,56.0,45.6,33.0,91.6,39.5,50.4,2022
175,University of Lausanne,13016,9.5,23%,56.0,32.8,45.4,77.1,78.1,92.0,2022
176,Stockholm University,28072,19.6,10%,56.0,30.5,49.1,84.9,36.5,69.4,2022
177,University of Liverpool,25910,14.6,35%,55.0,33.1,36.5,88.5,39.1,93.6,2022
178,Ulsan National Institute of Science and Technology (UNIST),3657,13.9,10%,55.0,37.7,41.1,85.4,91.8,51.0,2022
179,Karlsruhe Institute of Technology,23224,22.6,24%,55.0,45.7,51.5,61.3,93.3,71.7,2022
180,Huazhong University of Science and Technology,56709,16.2,5%,55.0,38.3,38.4,92.7,89.8,27.9,2022
181,University of East Anglia,15760,13.5,26%,55.0,28.3,32.5,97.9,35.9,87.5,2022
182,University of Cape Town,21757,13.3,16%,55.0,31.4,41.4,85.5,56.4,80.1,2022
183,University of Notre Dame,12234,10.8,13%,55.0,51.2,43.2,70.7,39.7,59.0,2022
184,University of Gothenburg,21033,10.6,13%,55.0,29.6,42.3,90.5,42.7,66.1,2022
185,University of Leicester,15030,14.1,31%,55.0,30.0,32.3,94.2,39.9,91.0,2022
186,Pohang University of Science and Technology (POSTECH),3183,10.1,3%,55.0,52.3,49.1,65.4,98.0,31.1,2022
187,Technical University of Denmark,9321,6.6,23%,55.0,39.6,40.6,72.4,86.0,92.2,2022
188,Cardiff University,26620,14.7,28%,55.0,31.9,36.1,89.1,39.9,87.0,2022
189,King Abdulaziz University,32034,7.8,22%,55.0,36.7,22.9,92.4,74.0,93.6,2022
190,Rutgers University – New Brunswick,44870,10.8,17%,55.0,46.6,47.5,70.4,47.2,52.8,2022
191,Macquarie University,30249,69.6,30%,54.0,39.0,43.3,71.4,63.3,89.5,2022
192,University of Barcelona,45382,16.1,11%,54.0,31.9,40.0,90.4,47.1,59.4,2022
193,Queensland University of Technology,36366,40.2,18%,54.0,32.2,36.7,86.8,50.0,84.6,2022
194,Texas A&M University,62790,21.6,8%,54.0,47.4,51.1,64.6,46.5,56.1,2022
195,Medical University of Graz,3733,13.3,26%,54.0,30.3,29.1,95.9,66.7,78.0,2022
196,University of Erlangen-Nuremberg,30747,44.7,13%,54.0,42.2,45.7,71.5,88.7,52.8,2022
197,University of Geneva,17744,8.2,39%,54.0,34.4,33.6,83.1,51.6,98.6,2022
198,University of Hohenheim,8614,38.5,11%,54.0,34.4,31.2,97.5,48.5,51.4,2022
199,Sapienza University of Rome,71992,30.6,9%,54.0,51.5,41.7,70.9,55.9,44.3,2022
200,Scuola Normale Superiore di Pisa,581,6.9,12%,54.0,56.5,38.6,67.8,36.9,55.4,2022
201,Aalborg University,16519,12.8,13%,54.78,27.0,38.0,79.3,49.8,78.5,2022
202,Aalto University,12815,19.4,24%,54.72,38.9,38.6,71.6,54.2,83.7,2022
203,Alfaisal University,2724,10.1,34%,54.67,20.2,21.2,99.0,41.7,97.3,2022
204,Auckland University of Technology,18528,17.4,50%,54.61,20.8,21.5,98.9,37.0,96.2,2022
205,University of Bath,14655,15.7,34%,54.56,32.2,34.0,78.9,38.7,92.9,2022
206,University of Bergen,14327,12.3,13%,54.5,28.7,30.3,91.6,37.5,78.7,2022
207,Brighton and Sussex Medical School,975,10.3,17%,54.44,21.5,24.2,100.0,34.8,80.6,2022
208,University of Calgary,33099,18.2,21%,54.39,34.9,37.2,80.4,65.6,80.4,2022
209,"University of California, Santa Cruz",19700,24.1,13%,54.33,31.5,31.2,96.7,42.1,65.6,2022
210,Copenhagen Business School,16637,27.5,25%,54.28,24.1,33.4,86.2,42.4,94.5,2022
211,University of Dundee,13015,18.2,24%,54.22,25.4,30.7,89.1,48.9,83.2,2022
212,Eindhoven University of Technology,11326,24.6,22%,54.17,44.4,48.2,56.1,99.9,83.8,2022
213,Friedrich Schiller University Jena,16964,25.3,15%,54.12,41.4,40.7,73.5,57.1,60.5,2022
214,George Washington University,23375,12.7,18%,54.06,46.3,31.4,79.0,36.0,57.9,2022
215,Griffith University,35020,29.0,18%,54.01,27.5,35.3,80.4,50.6,82.8,2022
216,University of Konstanz,11453,50.2,13%,53.96,40.5,46.1,59.4,74.8,69.7,2022
217,Korea University,22799,13.4,23%,53.9,47.4,47.0,63.4,91.9,50.9,2022
218,KTH Royal Institute of Technology,13422,16.7,21%,53.85,38.8,44.7,56.0,69.8,90.2,2022
219,La Trobe University,26097,33.8,39%,53.8,27.6,34.0,86.3,46.7,89.8,2022
220,Université Libre de Bruxelles,25743,44.8,31%,53.75,32.5,42.1,78.6,43.8,88.9,2022
221,University of Macau,9874,15.1,38%,53.69,30.2,39.3,71.2,45.7,99.4,2022
222,University of Massachusetts,62595,13.2,15%,53.64,36.5,29.4,90.2,52.6,64.4,2022
223,Medical University of Innsbruck,3168,12.1,43%,53.59,31.0,28.6,88.4,91.4,87.2,2022
224,Medical University of Vienna,7232,8.9,30%,53.54,34.6,26.9,92.7,61.9,79.8,2022
