rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n,rank_n
794.0,Ulster University,17817.0,0.17,0.08,39.08,21.0,18.0,40.9,35.6,75.7,2020,0.41,0.23,0.18,0.41,0.36,0.76,0.02,0.03,0.1,2020,0,0.34
179.0,University of Auckland,32821.0,0.22,0.32,55.2,31.4,43.9,80.2,62.4,94.0,2020,0.58,0.34,0.44,0.8,0.62,0.94,0.04,0.04,0.39,2018,2,0.08
432.0,University of Georgia,35164.0,0.16,0.07,45.96,34.9,35.8,55.8,37.2,46.0,2020,0.48,0.38,0.36,0.56,0.37,0.46,0.04,0.03,0.08,2020,0,0.18
259.0,University of Cincinnati,28434.0,0.2,0.09,51.73,35.5,30.8,83.9,39.4,40.9,2020,0.54,0.38,0.31,0.84,0.39,0.41,0.03,0.04,0.11,2017,3,0.11
305.0,Boston College,12904.0,0.16,0.11,49.89,36.7,33.7,69.2,34.4,42.3,2020,0.52,0.4,0.34,0.69,0.34,0.42,0.02,0.03,0.13,2015,5,0.13
501.0,York University,46683.0,0.35,0.24,44.28,28.2,37.6,50.7,45.4,75.0,2020,0.46,0.3,0.38,0.51,0.45,0.75,0.06,0.07,0.29,2019,1,0.21
167.0,University of Leicester,14645.0,0.14,0.32,56.1,30.1,34.8,96.2,38.1,90.7,2020,0.59,0.32,0.35,0.96,0.38,0.91,0.02,0.03,0.39,2016,4,0.07
42.0,McGill University,31294.0,0.13,0.29,74.3,65.0,71.9,84.7,42.8,90.4,2020,0.78,0.7,0.72,0.85,0.43,0.91,0.04,0.03,0.35,2020,0,0.02
329.0,University of Newcastle,22220.0,0.21,0.17,48.63,23.8,26.9,74.1,57.0,82.3,2019,0.51,0.25,0.27,0.74,0.57,0.82,0.02,0.02,0.2,2021,-2,0.14
177.0,University of Ottawa,35002.0,0.26,0.18,54.9,39.1,39.3,81.6,43.2,77.0,2019,0.57,0.41,0.39,0.82,0.43,0.77,0.02,0.03,0.21,2021,-2,0.08
116.0,University of Birmingham,28355.0,0.15,0.28,59.7,38.9,43.3,91.5,39.8,88.5,2019,0.62,0.41,0.44,0.92,0.4,0.89,0.02,0.02,0.33,2023,-4,0.05
115.0,Durham University,16565.0,0.15,0.3,59.9,44.7,47.0,82.0,37.7,90.9,2019,0.62,0.47,0.47,0.82,0.38,0.91,0.01,0.02,0.36,2020,-1,0.05
464.0,University of Portsmouth,19305.0,0.15,0.26,44.69,16.7,15.3,69.3,34.3,86.1,2019,0.47,0.18,0.15,0.69,0.34,0.86,0.01,0.02,0.31,2021,-2,0.2
603.0,Auburn University,24274.0,0.18,0.06,41.69,32.8,20.8,34.8,40.7,36.8,2019,0.43,0.35,0.21,0.35,0.41,0.37,0.02,0.02,0.07,2019,0,0.26
