rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year
268,Heriot-Watt University,9189,0.17,0.35,51.35,36.41,34.69,75.2,42.0,94.0,2020
269,Higher School of Economics,22111,0.13,0.09,51.31,36.37,34.63,78.1,56.5,42.0,2020
270,University of Illinois at Chicago,27031,0.12,0.2,51.26,36.32,34.57,69.7,43.2,54.9,2020
271,University of Kiel,26412,0.22,0.08,51.22,36.28,34.51,86.8,34.4,54.9,2020
272,La Trobe University,22292,0.34,0.29,51.18,36.23,34.45,73.3,51.3,83.8,2020
273,Laval University,29250,0.17,0.13,51.14,36.18,34.39,67.6,59.6,69.2,2020
274,Macau University of Science and Technology,9924,0.24,0.79,51.1,36.14,34.33,83.0,34.8,99.6,2020
275,Medical University of Innsbruck,2966,0.04,0.44,51.06,36.09,34.27,89.1,51.5,93.9,2020
276,"National University of Ireland, Galway",13911,0.27,0.17,51.02,36.05,34.21,76.3,42.4,79.8,2020
277,University of Navarra,10833,0.13,0.22,50.97,36.0,34.15,80.3,85.5,65.1,2020
278,University of Oregon,22143,0.11,0.12,50.93,35.96,34.09,83.7,34.7,37.0,2020
279,Oregon Health and Science University,2895,0.01,0.03,50.89,35.91,34.03,99.7,47.6,26.6,2020
280,University of Oulu,10086,0.3,0.06,50.85,35.87,33.97,76.4,43.0,54.3,2020
281,University of Passau,11387,0.87,0.12,50.81,35.82,33.91,75.5,47.5,59.1,2020
282,University of Potsdam,20063,0.54,0.11,50.77,35.78,33.85,65.2,56.2,57.4,2020
283,Queen’s University,23306,0.25,0.13,50.73,35.73,33.8,62.6,65.7,66.3,2020
284,"Royal Holloway, University of London",9503,0.15,0.36,50.69,35.69,33.74,73.4,37.1,92.8,2020
285,Ruhr University Bochum,43015,0.61,0.14,50.65,35.64,33.68,57.9,54.5,55.0,2020
286,University of São Paulo,83214,0.16,0.04,50.61,35.6,33.62,40.6,39.9,33.9,2020
287,Sapienza University of Rome,71318,0.21,0.06,50.57,35.56,33.57,69.8,43.6,40.5,2020
288,Simon Fraser University,26521,0.27,0.3,50.54,35.51,33.51,75.3,47.0,91.1,2020
289,University of South Australia,20268,0.31,0.25,50.5,35.47,33.45,65.8,82.5,89.3,2020
290,University of Southern Denmark,21281,0.12,0.17,50.46,35.43,33.4,85.1,69.7,80.9,2020
291,Stellenbosch University,24308,0.26,0.08,50.42,35.38,33.34,74.4,59.1,54.8,2020
292,University of Stuttgart,26004,0.46,0.2,50.38,35.34,33.28,52.4,61.1,53.1,2020
293,Sun Yat-sen University,53603,0.17,0.09,50.34,35.3,33.23,63.5,56.4,34.9,2020
294,University of Surrey,13125,0.16,0.37,50.3,35.26,33.17,71.9,46.8,93.7,2020
295,Swansea University,16445,0.17,0.23,50.26,35.21,33.12,93.3,36.8,83.2,2020
296,Syracuse University,20236,0.16,0.2,50.23,35.17,33.06,78.1,35.3,48.7,2020
297,Tampere University,15149,0.22,0.06,50.19,35.13,33.01,81.8,52.6,49.3,2020
298,Technical University of Darmstadt,18166,0.41,0.17,50.15,35.09,32.95,50.4,89.5,57.2,2020
299,Tohoku University,17735,0.08,0.12,50.11,35.04,32.9,39.8,86.4,38.1,2020
300,Tokyo Institute of Technology,9752,0.08,0.13,50.07,35.0,32.84,37.4,69.3,40.5,2020
301,Western Sydney University,32259,0.36,0.17,50.04,34.96,32.79,82.8,40.4,83.7,2020
302,Aix-Marseille University,67857,0.17,0.12,50.0,34.92,32.73,67.1,36.8,60.5,2020
303,Anglia Ruskin University,18022,0.23,0.3,49.96,34.88,32.68,99.9,35.1,83.7,2020
304,Beijing Normal University,23524,0.15,0.11,49.92,34.84,32.62,48.6,57.1,42.9,2020
305,Boston College,12904,0.16,0.11,49.89,34.8,32.57,69.2,34.4,42.3,2020
306,University of Canterbury,13089,0.18,0.24,49.85,34.75,32.52,72.7,38.5,93.1,2020
307,Colorado School of Mines,5768,0.17,0.11,49.81,34.71,32.46,79.6,46.6,42.1,2020
308,Cyprus University of Technology,3228,0.17,0.08,49.78,34.67,32.41,98.0,35.3,72.0,2020
309,Deakin University,39305,0.29,0.22,49.74,34.63,32.36,73.5,40.6,85.2,2020
310,University of Fribourg,10887,0.32,0.18,49.7,34.59,32.3,64.7,54.1,87.3,2020
311,Goethe University Frankfurt,47141,0.2,0.15,49.67,34.55,32.25,75.6,43.2,59.9,2020
312,Grenoble Alpes University,41411,0.18,0.13,49.63,34.51,32.2,69.7,36.0,59.9,2020
313,Huazhong University of Science and Technology,56379,0.17,0.05,49.6,34.47,32.15,59.8,90.4,25.8,2020
314,Indian Institute of Science,4128,0.1,0.01,49.56,34.43,32.09,32.4,57.1,20.2,2020
315,Indian Institute of Technology Ropar,1119,0.08,0.0,49.52,34.39,32.04,100.0,36.2,18.0,2020
316,Jacobs University,1142,0.16,0.76,49.49,34.35,31.99,50.7,55.1,88.7,2020
317,Johannes Gutenberg University of Mainz,31919,0.27,0.11,49.45,34.31,31.94,77.4,68.9,56.7,2020
318,University of Klagenfurt,3639,0.11,0.22,49.42,34.27,31.89,86.5,37.2,87.3,2020
319,Kyung Hee University,22102,0.17,0.22,49.38,34.23,31.84,56.4,84.9,62.6,2020
320,University of Liège,20888,0.27,0.21,49.35,34.19,31.78,60.5,95.9,70.6,2020
321,University of Macau,9340,0.14,0.37,49.31,34.16,31.73,61.9,41.0,98.5,2020
