rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
223,La Trobe University,22303,0.32,0.3,53.7,27.9,34.6,82.7,50.0,86.7,2021,0.56,0.3,0.35,0.83,0.5,0.87,0.04,0.09,0.36
224,Université Libre de Bruxelles,24157,0.42,0.31,53.65,32.1,42.6,76.2,42.6,88.8,2021,0.56,0.34,0.43,0.76,0.43,0.89,0.05,0.12,0.37
225,University of Luxembourg,4858,0.19,0.51,53.6,35.7,35.0,73.2,45.2,99.6,2021,0.56,0.38,0.35,0.73,0.45,1.0,0.01,0.06,0.61
226,University of Massachusetts,61958,0.13,0.15,53.55,37.3,32.0,88.3,50.7,64.1,2021,0.56,0.4,0.32,0.88,0.51,0.64,0.12,0.04,0.18
227,Medical University of Graz,3541,0.12,0.25,53.5,29.8,27.3,95.1,62.6,76.0,2021,0.56,0.32,0.27,0.95,0.63,0.76,0.01,0.04,0.3
228,Medical University of Innsbruck,3080,0.11,0.44,53.45,31.0,26.3,92.3,86.9,87.0,2021,0.56,0.33,0.26,0.92,0.87,0.87,0.01,0.03,0.52
229,Medical University of Vienna,7466,0.09,0.3,53.4,33.4,25.4,92.2,57.8,79.2,2021,0.56,0.35,0.26,0.92,0.58,0.79,0.01,0.03,0.36
230,University of Miami,16179,0.06,0.16,53.35,45.1,25.0,81.4,40.5,60.6,2021,0.56,0.48,0.25,0.81,0.4,0.61,0.03,0.02,0.19
231,University of Otago,18571,0.2,0.21,53.3,29.5,33.4,85.3,37.1,89.8,2021,0.56,0.31,0.34,0.85,0.37,0.9,0.04,0.06,0.25
232,RCSI University of Medicine and Health Sciences,2355,0.23,0.65,53.25,30.9,33.3,87.8,50.3,94.1,2021,0.56,0.33,0.33,0.88,0.5,0.94,0.0,0.07,0.77
233,University of Reading,15205,0.16,0.31,53.21,34.3,35.5,74.7,38.2,91.9,2021,0.56,0.36,0.36,0.75,0.38,0.92,0.03,0.05,0.37
234,"St George’s, University of London",3425,0.12,0.21,53.16,22.5,26.9,99.3,36.4,76.6,2021,0.56,0.24,0.27,0.99,0.36,0.77,0.01,0.04,0.25
235,University of São Paulo,82961,0.16,0.04,53.11,56.6,58.9,44.2,41.7,35.2,2021,0.56,0.6,0.59,0.44,0.42,0.35,0.16,0.05,0.05
236,Sapienza University of Rome,77496,0.23,0.07,53.06,51.9,41.4,68.5,44.0,41.4,2021,0.56,0.55,0.42,0.68,0.44,0.41,0.15,0.07,0.08
237,University of South Florida (Tampa),34839,0.19,0.15,53.01,31.1,36.9,87.4,93.2,55.6,2021,0.55,0.33,0.37,0.87,0.93,0.56,0.07,0.06,0.18
238,University of St Andrews,9615,0.13,0.47,52.97,43.3,44.0,55.6,36.7,95.4,2021,0.55,0.46,0.44,0.56,0.37,0.95,0.02,0.04,0.56
239,Télécom Paris,897,0.05,0.43,52.92,44.1,38.1,68.1,81.1,84.7,2021,0.55,0.47,0.38,0.68,0.81,0.85,0.0,0.01,0.51
240,Tilburg University,9380,0.24,0.16,52.87,36.5,50.2,61.9,51.2,79.8,2021,0.55,0.39,0.5,0.62,0.51,0.8,0.02,0.07,0.19
241,Tohoku University,17752,0.12,0.12,52.82,57.7,61.0,38.1,97.4,46.7,2021,0.55,0.61,0.61,0.38,0.97,0.47,0.03,0.04,0.14
242,University of Twente,8207,0.14,0.35,52.78,37.6,46.6,54.7,86.7,92.9,2021,0.55,0.4,0.47,0.55,0.87,0.93,0.02,0.04,0.42
243,University of Utah,30692,0.15,0.08,52.73,38.3,31.8,86.6,56.4,32.8,2021,0.55,0.41,0.32,0.87,0.56,0.33,0.06,0.04,0.1
244,Virginia Polytechnic Institute and State University,34155,0.18,0.14,52.68,36.2,42.4,72.5,47.8,55.6,2021,0.55,0.38,0.43,0.72,0.48,0.56,0.07,0.05,0.17
245,University of Waterloo,32804,0.23,0.21,52.64,35.8,43.3,67.1,44.0,86.0,2021,0.55,0.38,0.43,0.67,0.44,0.86,0.06,0.07,0.25
246,Western University,29865,0.23,0.18,52.59,39.7,35.8,79.3,64.2,80.7,2021,0.55,0.42,0.36,0.79,0.64,0.81,0.06,0.07,0.21
247,University of the Witwatersrand,27839,0.26,0.07,52.55,30.7,43.9,77.8,100.0,72.8,2021,0.55,0.33,0.44,0.78,1.0,0.73,0.05,0.08,0.08
248,University of Wollongong,18517,0.3,0.29,52.5,29.2,36.1,78.1,56.9,94.3,2021,0.55,0.31,0.36,0.78,0.57,0.94,0.04,0.09,0.35
249,Alfaisal University,2640,0.1,0.34,52.45,19.8,21.0,98.7,45.2,97.8,2021,0.55,0.21,0.21,0.99,0.45,0.98,0.01,0.03,0.4
250,Auckland University of Technology,17909,0.17,0.49,52.41,21.0,19.9,99.5,36.1,95.9,2021,0.55,0.22,0.2,1.0,0.36,0.96,0.03,0.05,0.58
251,Australian Catholic University,24087,0.46,0.13,52.36,21.5,27.6,89.1,37.8,77.3,2021,0.55,0.23,0.28,0.89,0.38,0.77,0.05,0.14,0.15
252,Brighton and Sussex Medical School,900,0.1,0.14,52.32,18.9,20.3,100.0,33.4,78.7,2021,0.55,0.2,0.2,1.0,0.33,0.79,0.0,0.03,0.17
253,University at Buffalo,26341,0.18,0.16,52.27,36.8,34.0,73.1,44.7,64.6,2021,0.55,0.39,0.34,0.73,0.45,0.65,0.05,0.05,0.19
254,"University of California, Riverside",22498,0.18,0.14,52.23,31.2,30.3,85.0,37.5,65.7,2021,0.55,0.33,0.3,0.85,0.38,0.66,0.04,0.05,0.17
255,University of Cincinnati – Uptown,29309,0.2,0.09,52.19,35.8,31.2,83.8,38.5,43.6,2021,0.55,0.38,0.31,0.84,0.38,0.44,0.06,0.06,0.11
256,Dalhousie University,15651,0.13,0.26,52.14,27.7,29.2,78.4,42.4,87.7,2021,0.55,0.29,0.29,0.78,0.42,0.88,0.03,0.04,0.31
257,Deakin University,41341,0.34,0.26,52.1,25.1,31.4,78.3,40.2,87.1,2021,0.54,0.27,0.32,0.78,0.4,0.87,0.08,0.1,0.31
258,École des Ponts ParisTech,2059,0.12,0.43,52.05,35.7,23.8,79.2,58.7,83.1,2021,0.54,0.38,0.24,0.79,0.59,0.83,0.0,0.04,0.51
259,École Normale Supérieure de Lyon,2362,0.09,0.13,52.01,44.1,45.6,53.5,50.5,67.0,2021,0.54,0.47,0.46,0.54,0.5,0.67,0.0,0.03,0.15
260,Flinders University,17167,0.25,0.4,51.97,21.9,29.8,85.6,37.8,89.2,2021,0.54,0.23,0.3,0.86,0.38,0.89,0.03,0.07,0.48
261,Florida State University,38368,0.26,0.07,51.92,37.9,40.1,69.5,38.7,45.9,2021,0.54,0.4,0.4,0.7,0.39,0.46,0.07,0.08,0.08
262,Friedrich Schiller University Jena,17063,0.2,0.14,51.88,39.5,37.2,71.1,49.1,61.5,2021,0.54,0.42,0.37,0.71,0.49,0.62,0.03,0.06,0.17
263,George Mason University,30500,0.18,0.11,51.84,31.0,28.9,89.9,35.0,47.8,2021,0.54,0.33,0.29,0.9,0.35,0.48,0.06,0.05,0.13
264,Goethe University Frankfurt,46481,0.19,0.16,51.79,33.1,31.1,77.9,41.6,61.0,2021,0.54,0.35,0.31,0.78,0.42,0.61,0.09,0.06,0.19
265,University of Illinois Chicago,27031,0.12,0.2,51.75,43.7,33.0,68.9,42.6,55.7,2021,0.54,0.46,0.33,0.69,0.43,0.56,0.05,0.04,0.24
266,Constructor University,1353,0.19,0.76,51.71,38.7,32.1,64.6,57.1,91.1,2021,0.54,0.41,0.32,0.65,0.57,0.91,0.0,0.06,0.9
267,University of Kiel,27181,0.22,0.08,51.67,30.2,30.3,85.9,33.3,56.4,2021,0.54,0.32,0.3,0.86,0.33,0.56,0.05,0.06,0.1
268,University of Konstanz,11553,0.51,0.13,51.62,39.0,44.4,59.9,69.6,69.6,2021,0.54,0.41,0.45,0.6,0.7,0.7,0.02,0.15,0.15
