rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
177.0,Université Libre de Bruxelles,45.9,22.7,30.4,77.8,50.82,77.5,23819.0,0.26,0.32,2014,0.48,0.24,0.31,0.78,0.51,0.79,0.2,0.36,0.59
178.0,Paris Diderot University – Paris 7,45.8,24.0,19.1,90.2,29.1,67.0,27756.0,0.15,0.17,2014,0.48,0.25,0.19,0.9,0.29,0.68,0.23,0.21,0.31
179.0,Stony Brook University,45.8,32.5,22.9,80.3,32.3,57.8,21908.0,0.11,0.24,2014,0.48,0.34,0.23,0.8,0.32,0.59,0.18,0.15,0.44
180.0,Wake Forest University,45.7,36.1,21.8,85.1,38.8,23.7,7326.0,0.05,0.05,2014,0.48,0.38,0.22,0.85,0.39,0.24,0.06,0.07,0.09
181.0,Rensselaer Polytechnic Institute,45.6,30.7,35.5,71.5,65.6,35.6,6671.0,0.15,0.16,2014,0.48,0.32,0.36,0.72,0.66,0.36,0.06,0.21,0.3
182.0,University of Bonn,45.6,35.8,20.4,80.7,50.82,54.2,32474.0,0.7,0.13,2014,0.48,0.38,0.21,0.81,0.51,0.55,0.27,0.97,0.24
183.0,Iowa State University,45.5,35.6,32.4,71.5,28.2,38.8,29991.0,0.17,0.11,2014,0.48,0.37,0.33,0.72,0.28,0.4,0.25,0.24,0.2
184.0,Northeastern University,45.4,34.5,19.8,82.0,34.5,48.5,18539.0,0.15,0.26,2014,0.48,0.36,0.2,0.82,0.34,0.49,0.15,0.21,0.48
185.0,University of Miami,45.3,43.2,25.8,71.5,50.82,32.9,15286.0,0.06,0.14,2014,0.48,0.45,0.26,0.72,0.51,0.34,0.13,0.08,0.26
186.0,University of Oslo,45.3,32.4,33.0,65.4,32.5,70.3,27139.0,0.19,0.18,2014,0.48,0.34,0.34,0.65,0.32,0.72,0.22,0.26,0.33
187.0,University of Ottawa,45.3,36.5,34.8,60.6,41.6,62.4,36733.0,0.26,0.15,2014,0.48,0.38,0.35,0.61,0.42,0.64,0.3,0.36,0.28
188.0,University of Aberdeen,45.2,27.9,26.8,71.3,45.1,83.6,12938.0,0.16,0.33,2014,0.48,0.29,0.27,0.71,0.45,0.85,0.11,0.22,0.61
189.0,University of Texas at Dallas,45.2,25.5,28.6,81.2,44.4,46.8,16306.0,0.23,0.23,2014,0.48,0.27,0.29,0.81,0.44,0.48,0.13,0.32,0.43
190.0,Yonsei University,45.1,44.5,47.0,44.2,70.1,35.0,24774.0,0.12,0.14,2014,0.48,0.47,0.48,0.44,0.7,0.36,0.2,0.17,0.26
191.0,Hebrew University of Jerusalem,45.0,42.8,37.0,54.3,33.3,52.9,17612.0,0.11,0.05,2014,0.47,0.45,0.38,0.54,0.33,0.54,0.15,0.15,0.09
192.0,University of Illinois at Chicago,45.0,45.5,34.9,56.2,31.1,43.3,24313.0,0.09,0.17,2014,0.47,0.48,0.35,0.56,0.31,0.44,0.2,0.12,0.31
193.0,Mines ParisTech,44.9,41.6,22.5,62.7,99.1,58.7,1283.0,0.06,0.22,2014,0.47,0.44,0.23,0.63,0.99,0.6,0.01,0.08,0.41
194.0,George Washington University,44.8,45.6,26.3,65.9,30.0,36.0,20541.0,0.12,0.16,2014,0.47,0.48,0.27,0.66,0.3,0.37,0.17,0.17,0.3
195.0,University of Reading,44.8,36.0,34.1,58.7,34.4,70.6,12050.0,0.15,0.28,2014,0.47,0.38,0.35,0.59,0.34,0.72,0.1,0.21,0.52
196.0,University of Dundee,44.7,22.5,21.4,84.9,46.5,65.7,11628.0,0.15,0.25,2014,0.47,0.24,0.22,0.85,0.46,0.67,0.1,0.21,0.46
197.0,Florida Institute of Technology,44.6,15.9,14.5,99.0,44.7,61.5,4408.0,0.14,0.26,2014,0.47,0.17,0.15,0.99,0.45,0.63,0.04,0.19,0.48
198.0,Newcastle University,44.5,29.7,28.3,68.1,36.9,76.3,20174.0,0.15,0.29,2014,0.47,0.31,0.29,0.68,0.37,0.78,0.17,0.21,0.54
199.0,Boğaziçi University,44.3,20.5,22.8,88.2,45.9,49.8,11506.0,0.25,0.07,2014,0.47,0.22,0.23,0.88,0.46,0.51,0.1,0.35,0.13
200.0,Tel Aviv University,44.3,39.9,48.3,44.8,44.7,43.3,23977.0,0.24,0.04,2014,0.47,0.42,0.49,0.45,0.45,0.44,0.2,0.33,0.07
201.0,"Birkbeck, University of London",44.73,31.3,27.4,59.9,29.0,83.5,9454.0,0.17,0.38,2014,0.47,0.33,0.28,0.6,0.29,0.85,0.08,0.24,0.7
202.0,Cardiff University,44.67,28.0,30.9,64.6,34.4,70.6,23347.0,0.13,0.23,2014,0.47,0.29,0.31,0.65,0.34,0.72,0.19,0.18,0.43
203.0,City University of Hong Kong,44.6,30.9,33.5,60.2,55.7,65.9,10015.0,0.07,0.28,2014,0.47,0.32,0.34,0.6,0.56,0.67,0.08,0.1,0.52
204.0,Fudan University,44.54,41.6,31.9,54.1,46.7,37.9,32175.0,0.12,0.11,2014,0.47,0.44,0.32,0.54,0.47,0.39,0.27,0.17,0.2
205.0,Goethe University Frankfurt,44.47,28.9,20.4,80.7,39.8,56.4,31861.0,0.09,0.15,2014,0.47,0.3,0.21,0.81,0.4,0.57,0.26,0.12,0.28
206.0,Istanbul Technical University,44.41,26.2,19.2,82.3,68.2,35.7,34550.0,0.16,0.05,2014,0.47,0.27,0.19,0.82,0.68,0.36,0.29,0.22,0.09
207.0,Korea University,44.35,46.2,42.2,41.1,70.3,35.5,24043.0,0.16,0.14,2014,0.47,0.48,0.43,0.41,0.7,0.36,0.2,0.22,0.26
208.0,Laval University,44.28,37.7,29.1,59.3,68.5,54.0,27227.0,0.16,0.12,2014,0.47,0.4,0.3,0.59,0.68,0.55,0.23,0.22,0.22
209.0,Middle East Technical University,44.22,39.2,30.0,56.4,57.0,31.2,25779.0,0.22,0.07,2014,0.47,0.41,0.3,0.56,0.57,0.32,0.21,0.31,0.13
